rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
50,Rutgers University–New Brunswick,USA,29,192,106,24,81,84.6,newbrunswick.rutgers.edu
51,University of Southern California,USA,30,307,124,27,69,84.6,usc.edu
52,Vanderbilt University,USA,31,370,88,59,64,84.5,vanderbilt.edu
53,University of Texas Southwestern Medical Center,USA,32,28,-,25,149,84.4,utsouthwestern.edu
54,Pennsylvania State University,USA,33,304,163,56,51,84.3,psu.edu
55,Purdue University,USA,34,80,81,65,104,84.3,purdue.edu
56,"University of California, Davis",USA,35,123,577,62,46,84.2,ucdavis.edu
57,University of Manchester,United Kingdom,7,103,309,77,49,84.1,manchester.ac.uk
58,Ohio State University,USA,36,125,247,144,34,84,osu.edu
59,Free University of Berlin,Germany,2,93,1164,37,76,84,fu-berlin.de
60,Brown University,USA,37,70,56,112,131,83.9,brown.edu
61,Weizmann Institute of Science,Israel,1,17,-,45,270,83.8,weizmann.ac.il
62,Peking University,China,1,350,68,-,37,83.8,pku.edu.cn
63,University of Melbourne,Australia,1,137,371,128,36,83.7,unimelb.edu.au
64,University of Virginia,USA,38,262,33,184,125,83.6,virginia.edu
65,Hebrew University of Jerusalem,Israel,2,31,433,35,167,83.6,huji.ac.il
66,Humboldt University of Berlin,Germany,3,84,-,54,70,83.5,hu-berlin.de
67,University of Zurich,Switzerland,2,98,693,52,72,83.5,uzh.ch
68,Utrecht University,Netherlands,1,150,375,145,39,83.4,uu.nl
69,University of Colorado Boulder,USA,39,149,179,47,92,83.3,colorado.edu
70,Heidelberg University,Germany,4,132,866,80,58,83.3,uni-heidelberg.de
71,Tsinghua University,China,2,515,98,-,35,83.2,tsinghua.edu.cn
72,University of Pittsburgh,USA,40,250,236,259,32,83.2,pitt.edu
73,"Texas A&M University, College Station",USA,41,-,139,69,95,83.1,tamu.edu
74,Georgia Institute of Technology,USA,42,289,166,42,111,83,gatech.edu
75,University of Rochester,USA,43,68,74,118,145,83,rochester.edu
76,"University of Maryland, College Park",USA,44,113,453,130,62,82.9,umd.edu
77,University of Oslo,Norway,1,96,673,76,90,82.9,uio.no
78,University of Birmingham,United Kingdom,8,42,407,163,107,82.8,birmingham.ac.uk
79,Leiden University,Netherlands,2,104,1106,72,91,82.8,universiteitleiden.nl
80,"University of California, Irvine",USA,45,-,1353,33,102,82.7,uci.edu
81,Technical University of Munich,Germany,5,75,358,132,85,82.7,tum.de
82,Carnegie Mellon University,USA,46,55,155,38,200,82.6,cmu.edu
83,University of Amsterdam,Netherlands,3,211,942,189,42,82.6,uva.nl
84,University of Chinese Academy of Sciences,China,3,-,1136,-,26,82.5,ucas.ac.cn
85,University of Florida,USA,47,316,497,140,57,82.5,ufl.edu
86,National Taiwan University,Taiwan,1,305,38,-,114,82.4,ntu.edu.tw
87,Osaka University,Japan,3,146,61,179,123,82.4,osaka-u.ac.jp
88,Uppsala University,Sweden,2,144,496,67,100,82.3,uu.se
89,University of Arizona,USA,48,474,208,70,101,82.3,arizona.edu
90,University of Bristol,United Kingdom,9,212,280,74,97,82.2,bristol.ac.uk
91,Boston University,USA,49,500,114,210,66,82.2,bu.edu
92,Erasmus University Rotterdam,Netherlands,4,-,78,262,73,82.1,eur.nl
93,Keio University,Japan,4,489,12,-,363,82.1,keio.ac.jp
94,University of Basel,Switzerland,3,58,306,68,154,82,unibas.ch
95,National University of Singapore,Singapore,1,330,165,-,41,82,nus.edu.sg
96,University of Geneva,Switzerland,4,64,354,109,122,82,unige.ch
97,"University of California, Santa Barbara",USA,50,208,486,26,133,81.9,ucsb.edu
98,University of Sydney,Australia,2,176,607,-,38,81.9,sydney.edu.au
99,University of Texas MD Anderson Cancer Center,USA,51,-,-,84,88,81.8,mdanderson.org
100,University of Leeds,United Kingdom,10,124,349,49,134,81.8,leeds.ac.uk
101,University of Alberta,Canada,4,329,441,119,80,81.7,ualberta.ca
102,École Polytechnique Fédérale de Lausanne,Switzerland,5,-,90,151,117,81.7,epfl.ch
103,University of São Paulo,Brazil,1,514,303,117,86,81.7,usp.br
104,University of Groningen,Netherlands,5,274,568,126,78,81.6,rug.nl
105,Indiana University Bloomington,USA,52,236,82,175,118,81.6,indiana.edu
106,University of Queensland,Australia,3,405,598,222,54,81.5,uq.edu.au
107,Aarhus University,Denmark,2,264,357,152,83,81.5,au.dk
108,University of Göttingen,Germany,6,51,314,110,161,81.4,uni-goettingen.de
109,University of Utah,USA,53,252,190,129,106,81.4,utah.edu
110,Shanghai Jiao Tong University,China,4,-,213,-,56,81.4,sjtu.edu.cn
