rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
1295,Rhodes University,South Africa,10,407,986,-,1240,68.7,ru.ac.za
1296,University of Foggia,Italy,57,-,-,-,1232,68.7,unifg.it
1297,Soongsil University,South Korea,42,-,-,-,1233,68.7,ssu.ac.kr
1298,Huaqiao University,China,162,-,-,-,1234,68.7,hqu.edu.cn
1299,Jeju National University,South Korea,43,-,-,-,1235,68.7,jejunu.ac.kr
1300,Gustave Eiffel University,France,61,441,-,-,1236,68.7,univ-gustave-eiffel.fr
1301,Macau University of Science and Technology,China,163,-,522,-,1285,68.7,must.edu.mo
1302,Institute for Pure and Applied Mathematics (IMPA),Brazil,35,89,-,220,-,68.7,impa.br
1303,Oxford Brookes University,United Kingdom,72,-,-,-,1237,68.7,brookes.ac.uk
1304,Jiangxi Normal University,China,164,-,1383,-,1239,68.6,jxnu.edu.cn
1305,Mashhad University of Medical Sciences,Iran,15,-,-,-,1238,68.6,mums.ac.ir
1306,Federal University of Lavras,Brazil,36,-,-,-,1241,68.6,ufla.br
1307,Shenyang Pharmaceutical University,China,165,-,-,-,1242,68.6,syphu.edu.cn
1308,CY Cergy Paris University,France,62,-,-,-,1244,68.6,u-cergy.fr
1309,Guangxi Medical University,China,166,-,-,-,1245,68.6,gxmu.edu.cn
1310,Vellore Institute of Technology,India,29,-,-,-,1246,68.6,vit.ac.in
1311,Warsaw University of Life Sciences,Poland,18,448,-,-,1251,68.6,sggw.pl
1312,University of South Alabama,USA,268,-,-,-,1248,68.6,southalabama.edu
1313,Selçuk University,Turkey,25,-,-,-,1249,68.6,selcuk.edu.tr
1314,Autonomous University of Nuevo León,Mexico,10,-,-,-,1250,68.6,uanl.mx
1315,University of Yaoundé I,Cameroon,1,-,-,-,1252,68.6,uy1.uninet.cm
1316,Democritus University of Thrace,Greece,8,-,-,-,1253,68.6,duth.gr
1317,Hunan Agricultural University,China,167,-,-,-,1254,68.6,hunau.edu.cn
1318,National University of Rosario,Argentina,4,-,-,-,1255,68.6,unr.edu.ar
1319,Isfahan University of Medical Sciences,Iran,16,-,-,-,1256,68.6,mui.ac.ir
1320,University of Southern Mississippi,USA,269,-,-,-,1259,68.6,usm.edu
1321,Dalian Maritime University,China,168,-,904,-,1267,68.6,dlmu.edu.cn
1322,Wenzhou University,China,169,-,-,-,1260,68.6,wzu.edu.cn
1323,Hebei Medical University,China,170,-,-,-,1261,68.6,hebmu.edu.cn
1324,Nagoya Institute of Technology,Japan,77,-,1317,-,1263,68.6,nitech.ac.jp
1325,"Vietnam National University, Hanoi",Vietnam,1,-,-,-,1262,68.5,vnu.edu.vn
1326,University of Costa Rica,Costa Rica,1,-,-,-,1264,68.5,ucr.ac.cr
1327,University of Agriculture Faisalabad,Pakistan,5,-,-,-,1265,68.5,uaf.edu.pk
1328,Shimane University,Japan,78,-,-,-,1266,68.5,shimane-u.ac.jp
1329,Jordan University of Science and Technology,Jordan,1,-,-,-,1268,68.5,just.edu.jo
1330,University of Monastir,Tunisia,3,-,-,-,1270,68.5,um.rnu.tn
1331,Uludağ University,Turkey,26,-,-,-,1271,68.5,uludag.edu.tr
1332,University of Occupational and Environmental Health Japan,Japan,79,-,-,-,1272,68.5,uoeh-u.ac.jp
1333,Baruch College,USA,270,-,712,260,1431,68.5,baruch.cuny.edu
1334,Anhui Normal University,China,171,-,-,-,1273,68.5,ahnu.edu.cn
1335,Qilu University of Technology,China,172,-,-,-,1274,68.5,qlu.edu.cn
1336,Gdańsk University of Technology,Poland,19,-,1194,-,1277,68.5,pg.edu.pl
1337,University of Lethbridge,Canada,34,312,-,-,1295,68.5,uleth.ca
1338,Lodz University of Technology,Poland,20,-,-,-,1275,68.5,p.lodz.pl
1339,Shiga University of Medical Science,Japan,80,-,-,-,1276,68.5,shiga-med.ac.jp
1340,University of Carthage,Tunisia,4,-,-,-,1278,68.5,ucar.rnu.tn
1341,Southern Cross University,Australia,34,-,-,-,1279,68.5,scu.edu.au
1342,SOAS University of London,United Kingdom,73,76,906,-,1758,68.5,soas.ac.uk
1343,Shanghai University of Traditional Chinese Medicine,China,173,-,-,-,1280,68.5,shutcm.edu.cn
1344,Ontario Tech University,Canada,35,-,-,-,1281,68.5,uoit.ca
1345,Clarkson University,USA,271,-,753,-,1303,68.5,clarkson.edu
1346,University of Ghana,Ghana,1,-,1489,-,1282,68.4,ug.edu.gh
1347,Institute of Tropical Medicine Antwerp,Belgium,11,-,-,-,1283,68.4,itg.be
1348,Erzincan Binali Yıldırım University,Turkey,27,-,-,-,1284,68.4,ebyu.edu.tr
1349,Hiroshima Institute of Technology,Japan,81,-,-,-,1287,68.4,it-hiroshima.ac.jp
1350,University of Guadalajara,Mexico,11,-,-,-,1288,68.4,udg.mx
1351,Fayoum University,Egypt,7,-,-,-,1289,68.4,fayoum.edu.eg
1352,University of Toulon,France,63,-,-,-,1290,68.4,univ-tln.fr
1353,Coventry University,United Kingdom,74,-,932,-,1301,68.4,coventry.ac.uk
1354,Western Michigan University,USA,272,-,-,-,1291,68.4,wmich.edu
1355,Williams College,USA,273,152,169,-,1816,68.4,williams.edu
1356,University of Electro-Communications,Japan,82,-,-,-,1292,68.4,uec.ac.jp
1357,University of Nairobi,Kenya,1,-,-,-,1294,68.4,uonbi.ac.ke
1358,Hanken School of Economics,Finland,10,-,77,-,-,68.4,hanken.fi
1359,Chang'an University,China,174,-,1481,-,1296,68.4,chd.edu.cn
1360,Cha University,South Korea,44,-,-,-,1297,68.4,cha.ac.kr
1361,Brno University of Technology,Czech Republic,8,-,-,-,1298,68.4,vutbr.cz
1362,Doshisha University,Japan,83,-,173,-,1637,68.4,doshisha.ac.jp
1363,"California State University, Long Beach",USA,274,-,1371,-,1299,68.4,csulb.edu
1364,Pontifical Catholic University of Rio Grande do Sul,Brazil,37,-,737,-,1317,68.4,pucrs.br
1365,Sultan Qaboos University,Oman,1,-,-,-,1300,68.4,squ.edu.om
1366,I-Shou University,Taiwan,25,-,-,-,1302,68.4,isu.edu.tw
1367,Heilongjiang University,China,175,-,1369,-,1304,68.3,hlju.edu.cn
1368,"University of Santiago, Chile",Chile,7,-,1009,-,1307,68.3,usach.cl
1369,Polytechnic University of Hauts-de-France,France,64,-,-,-,1305,68.3,uphf.fr
1370,Feng Chia University,Taiwan,26,-,532,-,1349,68.3,fcu.edu.tw
1371,National University of Science and Technology MISiS,Russia,21,-,1147,-,1309,68.3,misis.ru
1372,Savitribai Phule Pune University,India,30,527,1314,-,1306,68.3,unipune.ac.in
1373,Karadeniz Technical University,Turkey,28,-,1326,-,1310,68.3,ktu.edu.tr
1374,Iran University of Medical Sciences,Iran,17,-,-,-,1308,68.3,iums.ac.ir
1375,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,Russia,22,-,-,240,1536,68.3,mi-ras.ru
1376,University of Malawi,Malawi,1,-,-,-,1311,68.3,unima.mw
1377,Witten/Herdecke University,Germany,61,-,-,-,1312,68.3,uni-wh.de
1378,University of Isfahan,Iran,18,-,-,-,1313,68.3,ui.ac.ir
1379,Grinnell College,USA,275,50,-,-,-,68.3,grinnell.edu
1380,Zagazig University,Egypt,8,-,-,-,1314,68.3,zu.edu.eg
1381,Wuhan University of Science and Technology,China,176,-,887,-,1321,68.3,wust.edu.cn
1382,Antonio Nariño University,Colombia,4,-,-,-,1315,68.3,uan.edu.co
1383,Babol Noshirvani University of Technology,Iran,19,-,-,-,1316,68.3,nit.ac.ir
1384,Akdeniz University,Turkey,29,-,-,-,1318,68.3,akdeniz.edu.tr
1385,DePaul University,USA,276,380,487,-,1386,68.3,depaul.edu
1386,Nova Southeastern University,USA,277,-,916,-,1330,68.3,nova.edu
1387,University of Beira Interior,Portugal,8,-,-,-,1320,68.3,ubi.pt
1388,Xi'an University of Technology,China,177,-,939,-,1331,68.3,xaut.edu.cn
1389,State University of Londrina,Brazil,38,-,-,-,1322,68.2,uel.br
1390,TU Ilmenau,Germany,62,-,-,-,1323,68.2,tu-ilmenau.de
1391,Fairfield University,USA,278,-,521,-,1381,68.2,fairfield.edu
1392,Silesian University of Technology,Poland,21,-,1460,-,1324,68.2,polsl.pl
1393,Ball State University,USA,279,-,468,-,1389,68.2,bsu.edu
1394,Kagawa University,Japan,84,-,830,-,1338,68.2,kagawa-u.ac.jp
1395,Royal Veterinary College,United Kingdom,75,282,-,-,1346,68.2,rvc.ac.uk
1396,University of Greenwich,United Kingdom,76,246,1285,-,1366,68.2,gre.ac.uk
1397,British University in Egypt,Egypt,9,-,-,-,1326,68.2,bue.edu.eg
1398,Taras Shevchenko National University of Kyiv,Ukraine,1,-,-,-,1327,68.2,univ.kiev.ua
1399,University of the Aegean,Greece,9,-,-,-,1328,68.2,aegean.gr
1400,University of Huelva,Spain,46,-,-,-,1329,68.2,uhu.es
1401,Zhejiang A&F University,China,178,-,-,-,1332,68.2,zafu.edu.cn
1402,Fukushima Medical University,Japan,85,-,-,-,1333,68.2,fmu.ac.jp
1403,University of Minnesota Duluth,USA,280,294,1186,-,1356,68.2,d.umn.edu
1404,University of Stavanger,Norway,7,-,-,-,1335,68.2,uis.no
1405,Okinawa Institute of Science and Technology,Japan,86,-,-,-,1336,68.2,oist.jp
1406,Texas Tech University Health Sciences Center,USA,281,-,-,-,1337,68.2,ttuhsc.edu
1407,"Indian Institute of Science Education and Research, Kolkata",India,31,-,-,-,1339,68.2,iiserkol.ac.in
1408,Yuan Ze University,Taiwan,27,-,-,-,1340,68.2,yzu.edu.tw
1409,University of South Africa,South Africa,11,-,905,-,1348,68.2,unisa.ac.za
1410,Michoacán University of San Nicolás of Hidalgo,Mexico,12,-,-,-,1341,68.2,umich.mx
1411,University of León,Spain,47,-,-,-,1342,68.1,unileon.es
1412,University of the Sunshine Coast,Australia,35,-,-,-,1343,68.1,usc.edu.au
1413,University of Évora,Portugal,9,-,1386,-,1344,68.1,uevora.pt
1414,"National Institute of Technology, Rourkela",India,32,-,277,-,1506,68.1,nitrkl.ac.in
1415,Sapporo Medical University,Japan,87,-,-,-,1345,68.1,sapmed.ac.jp
1416,Alexandru Ioan Cuza University of Iaşi,Romania,6,-,-,-,1347,68.1,uaic.ro
1417,Guangxi Normal University,China,179,-,-,-,1350,68.1,gxnu.edu.cn
1418,Southwest University of Science and Technology,China,180,-,1342,-,1351,68.1,swust.edu.cn
1419,Illinois State University,USA,282,-,823,-,1367,68.1,illinoisstate.edu
1420,Texas Christian University,USA,283,-,-,-,1352,68.1,tcu.edu
1421,National Institute of Amazonian Research (INPA),Brazil,39,-,-,-,1353,68.1,inpa.gov.br
1422,China Jiliang University,China,181,-,-,-,1354,68.1,cjlu.edu.cn
1423,Iuliu Hațieganu University of Medicine and Pharmacy,Romania,7,-,-,-,1355,68.1,umfcluj.ro
1424,University of Salford,United Kingdom,77,-,1302,-,1358,68.1,salford.ac.uk
1425,Vienna University of Economics and Business,Austria,14,-,142,-,1837,68.1,wu.ac.at
1426,Özyeğin University,Turkey,30,-,-,-,1357,68.1,ozyegin.edu.tr
1427,Carleton College,USA,284,88,327,-,1914,68.1,carleton.edu
1428,Northwest Normal University,China,182,-,-,-,1359,68.1,nwnu.edu.cn
1429,University of South Dakota,USA,285,291,-,-,1385,68.1,usd.edu
1430,Pomeranian Medical University in Szczecin,Poland,22,-,-,-,1360,68.1,pum.edu.pl
1431,Bohai University,China,183,-,-,-,1361,68.1,bhu.edu.cn
1432,University of Jordan,Jordan,2,-,-,-,1362,68.1,ju.edu.jo
1433,University of Veterinary Medicine Hanover,Germany,63,-,-,-,1363,68,tiho-hannover.de
1434,Manipal Academy of Higher Education,India,33,-,970,-,1369,68,manipal.edu
1435,Xinjiang University,China,184,-,1269,-,1364,68,xju.edu.cn
1436,Hainan University,China,185,-,-,-,1365,68,hainanu.edu.cn
1437,Indian Institute of Management Calcutta,India,34,-,69,-,-,68,iimcal.ac.in
1438,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,23,-,-,199,1859,68,chph.ras.ru
1439,Tallinn University of Technology,Estonia,2,-,-,-,1368,68,ttu.ee
1440,Southwestern University of Finance and Economics,China,186,-,195,-,1687,68,swufe.edu.cn
1441,Henan Polytechnic University,China,187,-,1288,-,1371,68,hpu.edu.cn
1442,École de technologie supérieure,Canada,36,-,-,-,1370,68,etsmtl.ca
1443,Kookmin University,South Korea,45,-,1432,-,1372,68,kookmin.ac.kr
1444,"Indian Statistical Institute, Kolkata",India,35,140,-,-,1519,68,isical.ac.in
1445,Myongji University,South Korea,46,-,1466,-,1373,68,mju.ac.kr
1446,Hamamatsu University School of Medicine,Japan,88,-,-,-,1374,68,hama-med.ac.jp
1447,Doğuş University,Turkey,31,-,-,-,1375,68,dogus.edu.tr
1448,Freiberg University of Mining and Technology,Germany,64,-,-,-,1376,68,tu-freiberg.de
1449,Hamburg University of Technology,Germany,65,-,-,-,1377,68,tuhh.de
1450,Lincoln University,New Zealand,8,-,-,-,1378,68,lincoln.ac.nz
1451,Wakayama Medical University,Japan,89,-,-,-,1379,68,wakayama-med.ac.jp
1452,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,5,-,-,-,1380,68,ksau-hs.edu.sa
1453,Pontifical Catholic University of Valparaíso,Chile,8,-,-,-,1382,68,pucv.cl
1454,Eastern Virginia Medical School,USA,286,-,-,-,1383,68,evms.edu
1455,"Queens College, City University of New York",USA,287,-,714,-,1405,67.9,qc.cuny.edu
1456,Tamkang University,Taiwan,28,-,1343,-,1384,67.9,tku.edu.tw
1457,University of San Francisco,USA,288,-,134,-,1913,67.9,usfca.edu
1458,Ibaraki University,Japan,90,-,-,-,1387,67.9,ibaraki.ac.jp
1459,Tianjin University of Science and Technology,China,188,-,-,-,1388,67.9,tust.edu.cn
1460,Kwame Nkrumah University of Science and Technology,Ghana,2,458,-,-,1391,67.9,knust.edu.gh
1461,Leuphana University of Lüneburg,Germany,66,-,-,-,1390,67.9,leuphana.de
1462,Changsha University of Science and Technology,China,189,-,-,-,1392,67.9,csust.edu.cn
1463,National University of Cuyo,Argentina,5,-,-,-,1393,67.9,uncuyo.edu.ar
1464,Fırat University,Turkey,32,-,-,-,1394,67.9,firat.edu.tr
1465,Razi University,Iran,20,-,-,-,1395,67.9,razi.ac.ir
1466,University of Tulsa,USA,289,-,202,-,1709,67.9,utulsa.edu
1467,Skolkovo Institute of Science and Technology,Russia,24,-,-,-,1396,67.9,skoltech.ru
1468,Norwegian School of Sport Sciences,Norway,8,-,-,-,1397,67.9,nih.no
1469,Maria Curie-Skłodowska University,Poland,23,-,1303,-,1401,67.9,umcs.pl
1470,Hebei Normal University,China,190,-,1146,-,1404,67.9,hebtu.edu.cn
1471,University of Trás-os-Montes and Alto Douro,Portugal,10,-,-,-,1399,67.9,utad.pt
1472,Shiraz University of Medical Sciences,Iran,21,-,-,-,1400,67.9,sums.ac.ir
1473,Ilia State University,Georgia,2,-,-,-,1402,67.9,iliauni.edu.ge
1474,Kyushu Institute of Technology,Japan,91,-,-,-,1403,67.9,kyutech.ac.jp
1475,Claremont Graduate University,USA,290,-,-,265,1498,67.9,cgu.edu
1476,Kyoto University of Education,Japan,92,-,-,-,1406,67.9,kyokyo-u.ac.jp
1477,Southwest Petroleum University,China,191,-,1081,-,1408,67.9,swpu.edu.cn
1478,Pontifical Catholic University of Rio de Janeiro,Brazil,40,-,295,-,1553,67.8,puc-rio.br
1479,Xuzhou Medical University,China,192,-,-,-,1407,67.8,xzhmu.edu.cn
1480,Federal University of Sergipe,Brazil,41,-,-,-,1409,67.8,ufs.br
1481,Central Michigan University,USA,291,-,1039,-,1419,67.8,cmich.edu
1482,National University of Mar del Plata,Argentina,6,-,-,-,1410,67.8,mdp.edu.ar
1483,Brooklyn College,USA,292,119,1441,-,1673,67.8,brooklyn.cuny.edu
1484,Medical University of Lublin,Poland,24,-,-,-,1411,67.8,umlub.pl
1485,Ochanomizu University,Japan,93,-,-,-,1412,67.8,ocha.ac.jp
1486,Institute of Applied Physics of the Russian Academy of Sciences,Russia,25,-,-,-,1413,67.8,ipfran.ru
1487,Arts et Métiers Sciences et Technologies,France,65,388,644,-,1460,67.8,artsetmetiers.fr
1488,Kocaeli University,Turkey,33,-,-,-,1414,67.8,kocaeli.edu.tr
1489,Cayetano Heredia Peruvian University,Peru,1,-,-,-,1415,67.8,cayetano.edu.pe
1490,Education University of Hong Kong,China,193,-,-,-,1416,67.8,eduhk.hk
1491,University of Avignon,France,66,-,-,-,1417,67.8,univ-avignon.fr
1492,Ohio Wesleyan University,USA,293,67,148,-,-,67.8,owu.edu
1493,Poznań University of Technology,Poland,25,-,-,-,1420,67.8,put.poznan.pl
1494,Wuhan Institute of Technology,China,194,-,-,-,1421,67.8,wit.edu.cn
1495,Institute of Science and Technology Austria,Austria,15,-,-,-,1422,67.8,ist.ac.at
1496,Tanta University,Egypt,10,-,-,-,1423,67.8,tanta.edu.eg
1497,National University of the Littoral,Argentina,7,-,-,-,1424,67.8,unl.edu.ar
1498,University of Latvia,Latvia,1,-,-,-,1425,67.8,lu.lv
1499,Jiangsu University of Science and Technology,China,195,-,-,-,1426,67.8,just.edu.cn
1500,King Mongkut's University of Technology Thonburi,Thailand,7,-,1251,-,1428,67.7,kmutt.ac.th
1501,Sabancı University,Turkey,34,-,-,-,1429,67.7,sabanciuniv.edu
1502,ESCP Europe,France,67,-,73,-,-,67.7,escpeurope.eu
1503,University of Guilan,Iran,22,-,-,-,1430,67.7,guilan.ac.ir
1504,Anglia Ruskin University,United Kingdom,78,-,-,-,1432,67.7,anglia.ac.uk
1505,Cleveland State University,USA,294,-,871,-,1442,67.7,csuohio.edu
1506,University Paris 1 Panthéon-Sorbonne,France,68,-,546,-,1487,67.7,pantheonsorbonne.fr
1507,University of New Orleans,USA,295,-,-,-,1433,67.7,uno.edu
1508,National University of Sciences and Technology,Pakistan,6,-,-,-,1434,67.7,nust.edu.pk
1509,Trinity University,USA,296,-,145,-,1950,67.7,trinity.edu
1510,Montclair State University,USA,297,-,1289,-,1436,67.7,montclair.edu
1511,Western Norway University of Applied Sciences,Norway,9,-,-,-,1435,67.7,hvl.no
1512,Harokopio University,Greece,10,-,-,-,1437,67.7,hua.gr
1513,University of Sannio,Italy,58,-,-,-,1438,67.7,unisannio.it
1514,Anhui University of Technology,China,196,-,814,-,1463,67.7,ahut.edu.cn
1515,University of Rijeka,Croatia,3,-,-,-,1440,67.7,uniri.hr
1516,University of South China,China,197,-,855,-,1461,67.7,usc.edu.cn
1517,University of La Frontera,Chile,9,-,-,-,1441,67.7,ufro.cl
1518,South Central University for Nationalities,China,198,-,-,-,1443,67.7,scuec.edu.cn
1519,Lithuanian University of Health Sciences,Lithuania,2,-,-,-,1444,67.7,lsmuni.lt
1520,National Dong Hwa University,Taiwan,29,-,-,-,1445,67.7,ndhu.edu.tw
1521,University of Niš,Serbia,3,-,-,-,1446,67.7,ni.ac.rs
1522,Glasgow Caledonian University,United Kingdom,79,-,-,-,1447,67.7,gcu.ac.uk
1523,University of Trier,Germany,67,-,-,-,1448,67.6,uni-trier.de
1524,University of Huddersfield,United Kingdom,80,-,1447,-,1449,67.6,hud.ac.uk
1525,Guglielmo Marconi University,Italy,59,-,-,-,1450,67.6,unimarconi.it
1526,Liaocheng University,China,199,-,-,-,1451,67.6,lcu.edu.cn
1527,École nationale supérieure des beaux-arts - Beaux-Arts de Paris,France,69,41,-,-,-,67.6,beauxartsparis.fr
1528,Iwate Medical University,Japan,94,-,-,-,1452,67.6,iwate-med.ac.jp
1529,Zhejiang Gongshang University,China,200,-,1236,-,1457,67.6,zjgsu.edu.cn
1530,University of Lincoln,United Kingdom,81,-,-,-,1453,67.6,lincoln.ac.uk
1531,Utah Valley University,USA,298,-,-,-,1454,67.6,uvu.edu
1532,Rikkyo University,Japan,95,459,424,-,1547,67.6,rikkyo.ac.jp
1533,Tabriz University of Medical Sciences,Iran,23,-,-,-,1455,67.6,tbzmed.ac.ir
1534,University of Fukui,Japan,96,-,-,-,1456,67.6,u-fukui.ac.jp
1535,University of South Wales,United Kingdom,82,-,720,-,1484,67.6,southwales.ac.uk
1536,University of Zambia,Zambia,1,-,-,-,1458,67.6,unza.zm
1537,Slovak University of Technology in Bratislava,Slovak Republic,3,-,-,-,1459,67.6,stuba.sk
1538,Wonkwang University,South Korea,47,-,-,-,1462,67.6,wku.ac.kr
1539,Helwan University,Egypt,11,-,-,-,1464,67.6,helwan.edu.eg
1540,Comillas Pontifical University,Spain,48,-,109,-,-,67.6,comillas.edu
1541,Incheon National University,South Korea,48,-,-,-,1465,67.6,inu.ac.kr
1542,Lobachevsky University,Russia,26,-,1221,-,1467,67.6,unn.ru
1543,"Federal Institute of Education, Science and Technology of Rio Grande do Sul",Brazil,42,-,-,-,1466,67.6,ifrs.edu.br
1544,Bu-Ali Sina University,Iran,24,-,-,-,1468,67.6,basu.ac.ir
1545,Medical University of Białystok,Poland,26,-,-,-,1469,67.6,umb.edu.pl
1546,École nationale supérieure de chimie de Montpellier,France,70,-,-,-,1470,67.6,enscm.fr
1547,Space Research Institute of the Russian Academy of Sciences,Russia,27,-,-,258,1633,67.5,iki.rssi.ru
1548,Poznań University of Life Sciences,Poland,27,-,-,-,1471,67.5,up.poznan.pl
1549,International Islamic University Malaysia,Malaysia,6,-,-,-,1472,67.5,iium.edu.my
1550,Iwate University,Japan,97,-,-,-,1473,67.5,iwate-u.ac.jp
1551,North China University of Science and Technology,China,201,-,-,-,1474,67.5,ncst.edu.cn
1552,Semnan University,Iran,25,-,-,-,1475,67.5,semnan.ac.ir
1553,"National Institute of Technology, Tiruchirappalli",India,36,-,344,-,1593,67.5,nitt.edu
1554,Federal University of Technology - Paraná,Brazil,43,-,-,-,1476,67.5,utfpr.edu.br
1555,University of Peradeniya,Sri Lanka,1,-,-,-,1477,67.5,pdn.ac.lk
1556,Pontifical Javeriana University,Colombia,5,-,1086,-,1482,67.5,javeriana.edu.co
1557,University of North Carolina Wilmington,USA,299,-,-,-,1478,67.5,uncw.edu
1558,New Mexico Institute of Mining and Technology,USA,300,-,-,-,1479,67.5,nmt.edu
1559,Georgia Southern University,USA,301,-,-,-,1480,67.5,georgiasouthern.edu
1560,University of Guanajuato,Mexico,13,-,1238,-,1481,67.5,ugto.mx
1561,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,37,-,618,-,1511,67.5,iitism.ac.in
1562,"Birla Institute of Technology and Science, Pilani",India,38,-,492,-,1545,67.5,bits-pilani.ac.in
1563,Seoul National University of Science and Technology,South Korea,49,-,-,-,1485,67.5,seoultech.ac.kr
1564,Grigore T. Popa University of Medicine and Pharmacy,Romania,8,-,-,-,1486,67.5,umfiasi.ro
1565,Indian Institute of Technology (BHU) Varanasi,India,39,-,1272,-,1492,67.5,iitbhu.ac.in
1566,Chongqing University of Posts and Telecommunications,China,202,-,-,-,1488,67.5,cqupt.edu.cn
1567,Shihezi University,China,203,-,-,-,1489,67.5,shzu.edu.cn
1568,Jackson State University,USA,302,-,-,-,1490,67.5,jsums.edu
1569,Shanghai Ocean University,China,204,-,-,-,1491,67.5,shou.edu.cn
1570,Nara Medical University,Japan,98,-,-,-,1493,67.4,naramed-u.ac.jp
1571,IFP School,France,71,-,66,-,-,67.4,ifp-school.com
1572,Western Washington University,USA,303,-,1113,-,1494,67.4,wwu.edu
1573,Shahid Bahonar University of Kerman,Iran,26,-,-,-,1496,67.4,uk.ac.ir
1574,Kongju National University,South Korea,50,-,-,-,1497,67.4,kongju.ac.kr
1575,Al-Azhar University,Egypt,12,-,1478,-,1499,67.4,azhar.edu.eg
1576,Kwangwoon University,South Korea,51,-,-,-,1500,67.4,kw.ac.kr
1577,University of Warmia and Mazury in Olsztyn,Poland,28,-,-,-,1501,67.4,uwm.edu.pl
1578,Ondokuz Mayıs University,Turkey,35,-,-,-,1502,67.4,omu.edu.tr
1579,Qingdao Agricultural University,China,205,-,-,-,1503,67.4,qau.edu.cn
1580,Washington and Lee University,USA,304,91,156,-,-,67.4,wlu.edu
1581,Sheffield Hallam University,United Kingdom,83,-,1475,-,1505,67.4,shu.ac.uk
1582,Middlesex University,United Kingdom,84,490,979,-,1512,67.4,mdx.ac.uk
1583,Polytechnic University of Cartagena,Spain,49,-,-,-,1507,67.4,upct.es
1584,Henan Agricultural University,China,206,-,1470,-,1508,67.4,henau.edu.cn
1585,Tamil Nadu Dr. M.G.R. Medical University,India,40,-,-,-,1509,67.4,tnmgrmu.ac.in
1586,Guangzhou University of Chinese Medicine,China,207,-,-,-,1510,67.4,gzucm.edu.cn
1587,University of Leoben,Austria,16,-,-,-,1513,67.4,unileoben.ac.at
1588,Tzu Chi University,Taiwan,30,-,-,-,1514,67.4,tcu.edu.tw
1589,University of Kragujevac,Serbia,4,-,-,-,1515,67.4,kg.ac.rs
1590,Indian Institute of Technology Indore,India,41,-,-,-,1516,67.4,iiti.ac.in
1591,Düsseldorf Art Academy,Germany,68,108,-,122,-,67.4,kunstakademie-duesseldorf.de
1592,Laurentian University,Canada,37,-,472,-,1592,67.4,laurentian.ca
1593,MARA University of Technology,Malaysia,7,-,-,-,1517,67.4,uitm.edu.my
1594,Marshall University,USA,305,443,347,-,1663,67.3,marshall.edu
1595,Inner Mongolia University,China,208,-,-,-,1518,67.3,imu.edu.cn
1596,Naval Postgraduate School,USA,306,-,1196,-,1525,67.3,nps.edu
1597,Tianjin Normal University,China,209,-,-,-,1520,67.3,tjnu.edu.cn
1598,Thapar Institute of Engineering and Technology,India,42,-,-,-,1521,67.3,thapar.edu
1599,University of Agder,Norway,10,-,-,-,1522,67.3,uia.no
1600,University of Valparaíso,Chile,10,-,-,-,1523,67.3,uv.cl
1601,Istanbul Bilgi University,Turkey,36,-,-,-,1524,67.3,bilgi.edu.tr
1602,Tôn Đức Thắng University,Vietnam,2,-,-,-,1526,67.3,tdtu.edu.vn
1603,Chengdu University of Technology,China,210,-,-,-,1527,67.3,cdut.edu.cn
1604,Aichi Medical University,Japan,99,-,-,-,1528,67.3,aichi-med-u.ac.jp
1605,Federal Rural University of Pernambuco,Brazil,44,-,-,-,1529,67.3,ufrpe.br
1606,College of Charleston,USA,307,-,-,-,1530,67.3,cofc.edu
1607,University of Massachusetts Dartmouth,USA,308,-,1166,-,1537,67.3,umassd.edu
1608,Agricultural University of Athens,Greece,11,-,-,-,1531,67.3,aua.gr
1609,University of Kashan,Iran,27,-,-,-,1532,67.3,kashanu.ac.ir
1610,Anadolu University,Turkey,37,-,-,-,1533,67.3,anadolu.edu.tr
1611,Kunming Medical University,China,211,-,-,-,1534,67.3,kmmc.cn
1612,National University of the South,Argentina,8,-,-,-,1535,67.3,uns.edu.ar
1613,Cooper Union,USA,309,52,551,-,-,67.3,cooper.edu
1614,Istanbul Aydın University,Turkey,38,-,-,-,1538,67.3,aydin.edu.tr
1615,St. John's University,USA,310,-,204,-,1904,67.3,stjohns.edu
1616,University of La Rochelle,France,72,-,-,-,1539,67.3,univ-larochelle.fr
1617,Gangneung-Wonju National University,South Korea,52,-,-,-,1540,67.3,gwnu.ac.kr
1618,Architectural Association School of Architecture,United Kingdom,85,44,-,-,-,67.3,aaschool.ac.uk
1619,Yantai University,China,212,-,-,-,1541,67.2,ytu.edu.cn
1620,Kingston University,United Kingdom,86,454,541,-,1597,67.2,kingston.ac.uk
1621,De Montfort University,United Kingdom,87,-,-,-,1542,67.2,dmu.ac.uk
1622,James Madison University,USA,311,-,1178,-,1544,67.2,jmu.edu
1623,Lanzhou University of Technology,China,213,-,-,-,1543,67.2,gsut.edu.cn
1624,Pontifical Catholic University of Peru,Peru,2,-,1210,-,1546,67.2,pucp.edu.pe
1625,China Three Gorges University,China,214,-,1119,-,1548,67.2,ctgu.edu.cn
